"Refs","Value","Footprint","Qty","DNP","Manufacturer","Part Number","Unit Cost (EUR)","Distributor","Link"
"C1","10µF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1","","Panasonic / Generic","ECA-1HM100I","0.15","LCSC / DigiKey","https://www.lcsc.com/search?q=10uF+radial+electrolytic"
"C2","0.1µF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1","","Murata / Generic","RD15N104J1HL2L","0.05","LCSC / DigiKey","https://www.lcsc.com/search?q=100nF+ceramic+disc"
"C3","10µF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1","","Panasonic / Generic","ECA-1HM100I","0.15","LCSC / DigiKey","https://www.lcsc.com/search?q=10uF+radial+electrolytic"
"D1","Green","LED_THT:LED_D5.0mm","1","","Generic","LED 5mm Green","0.05","LCSC / Amazon","https://www.lcsc.com/search?q=5mm+green+LED"
"D2","Blue","LED_THT:LED_D5.0mm","1","","Generic","LED 5mm Blue","0.05","LCSC / Amazon","https://www.lcsc.com/search?q=5mm+blue+LED"
"D3","Red","LED_THT:LED_D5.0mm","1","","Generic","LED 5mm Red","0.05","LCSC / Amazon","https://www.lcsc.com/search?q=5mm+red+LED"
"J1","ESP32-C3[L]","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","1","","Generic","Pin Socket 1x08 2.54mm","0.20","LCSC / Amazon","https://www.lcsc.com/search?q=pin+socket+1x08+2.54mm"
"J2","ESP32-C3[R]","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","1","","Generic","Pin Socket 1x08 2.54mm","0.20","LCSC / Amazon","https://www.lcsc.com/search?q=pin+socket+1x08+2.54mm"
"J3","ADXL345","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","1","","Generic","Pin Socket 1x08 2.54mm","0.20","LCSC / Amazon","https://www.lcsc.com/search?q=pin+socket+1x08+2.54mm"
"J4","NEO-6M","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","1","","Generic","Pin Socket 1x05 2.54mm","0.15","LCSC / Amazon","https://www.lcsc.com/search?q=pin+socket+1x05+2.54mm"
"R1","330Ω","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","","Generic","MF 1/4W 330R","0.02","LCSC / DigiKey","https://www.lcsc.com/search?q=330+ohm+1/4W+THT"
"R2","330Ω","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","","Generic","MF 1/4W 330R","0.02","LCSC / DigiKey","https://www.lcsc.com/search?q=330+ohm+1/4W+THT"
"R3","330Ω","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","","Generic","MF 1/4W 330R","0.02","LCSC / DigiKey","https://www.lcsc.com/search?q=330+ohm+1/4W+THT"
"--","ESP32-C3 SuperMini","Module (socketable)","1","","Espressif / AliExpress","ESP32-C3 SuperMini","3.50","AliExpress / Amazon","https://www.aliexpress.com/w/wholesale-esp32-c3-supermini.html"
"--","ADXL345 Breakout","Module (socketable)","1","","Analog Devices / Generic","GY-291 ADXL345","2.00","AliExpress / Amazon","https://www.aliexpress.com/w/wholesale-ADXL345-module.html"
"--","NEO-6M GNSS Module","Module (socketable, optional)","1","","u-blox / Generic","GY-NEO6MV2","4.50","AliExpress / Amazon","https://www.aliexpress.com/w/wholesale-neo-6m-gps.html"
